,Hurricane Code,Hurricane Name,Timestamp,Status,Latitude,Longitude,Maximum Sustained Winds,Minimum Pressure,Radius of Maximum Winds,Shear Magnitude (kts),Shear Direction (deg)
0,AL012021,ANA,2021-05-20 00:00:00,EX,30.3,-55.5,30,1015,70,,
1,AL012021,ANA,2021-05-20 06:00:00,EX,31.5,-54.5,35,1013,70,,
2,AL012021,ANA,2021-05-20 12:00:00,EX,33.0,-53.0,40,1012,70,,
3,AL012021,ANA,2021-05-20 18:00:00,EX,34.2,-53.8,45,1010,90,,
4,AL012021,ANA,2021-05-21 00:00:00,EX,34.8,-55.0,50,1008,90,,
5,AL012021,ANA,2021-05-21 06:00:00,EX,35.5,-57.0,50,1006,90,,
6,AL012021,ANA,2021-05-21 12:00:00,EX,35.7,-59.3,45,1005,90,,
7,AL012021,ANA,2021-05-21 18:00:00,EX,35.0,-61.1,45,1005,80,,
8,AL012021,ANA,2021-05-22 00:00:00,EX,34.5,-61.8,40,1006,70,,
9,AL012021,ANA,2021-05-22 06:00:00,SS,34.2,-62.1,35,1006,60,15.9,75
10,AL012021,ANA,2021-05-22 12:00:00,SS,34.3,-62.7,35,1006,40,8.1,105
11,AL012021,ANA,2021-05-22 18:00:00,SS,34.2,-62.4,35,1006,20,13.6,91
12,AL012021,ANA,2021-05-23 00:00:00,TS,34.7,-61.8,40,1005,15,18.1,94
13,AL012021,ANA,2021-05-23 06:00:00,TS,35.4,-61.1,40,1004,15,14.5,104
14,AL012021,ANA,2021-05-23 12:00:00,TS,36.1,-60.3,35,1005,15,13.7,127
15,AL012021,ANA,2021-05-23 18:00:00,LO,36.8,-58.7,35,1006,20,,
16,AL012021,ANA,2021-05-24 00:00:00,LO,37.6,-56.7,35,1007,20,,
17,AL012022,ALEX,2022-06-02 18:00:00,DB,21.3,-87.5,30,1004,80,,
18,AL012022,ALEX,2022-06-03 00:00:00,DB,21.6,-87.3,30,1003,80,,
19,AL012022,ALEX,2022-06-03 06:00:00,DB,21.9,-87.1,35,1003,80,,
20,AL012022,ALEX,2022-06-03 12:00:00,DB,22.2,-86.9,35,1003,120,,
21,AL012022,ALEX,2022-06-03 18:00:00,DB,22.8,-86.3,35,1003,180,,
22,AL012022,ALEX,2022-06-04 00:00:00,DB,23.9,-85.1,35,1003,180,,
23,AL012022,ALEX,2022-06-04 06:00:00,DB,25.0,-83.7,35,1003,180,,
24,AL012022,ALEX,2022-06-04 12:00:00,DB,26.2,-82.0,35,1002,150,,
25,AL012022,ALEX,2022-06-04 18:00:00,DB,27.2,-80.4,40,1001,120,,
26,AL012022,ALEX,2022-06-05 00:00:00,TS,28.0,-78.8,40,999,90,37.9,81
27,AL012022,ALEX,2022-06-05 06:00:00,TS,28.8,-77.2,45,995,80,39.7,87
28,AL012022,ALEX,2022-06-05 12:00:00,TS,29.9,-75.0,50,993,80,39.8,84
29,AL012022,ALEX,2022-06-05 18:00:00,TS,31.0,-72.5,60,985,60,40.5,80
30,AL012022,ALEX,2022-06-06 00:00:00,TS,32.1,-70.2,60,984,50,42.1,76
31,AL012022,ALEX,2022-06-06 06:00:00,TS,33.0,-67.8,55,987,50,41.9,79
32,AL012022,ALEX,2022-06-06 12:00:00,LO,33.8,-65.2,55,992,50,,
33,AL012022,ALEX,2022-06-06 18:00:00,LO,34.7,-62.2,50,994,50,,
34,AL012023,UNNAMED,2023-01-15 00:00:00,EX,36.4,-71.3,45,989,80,,
35,AL012023,UNNAMED,2023-01-15 06:00:00,EX,36.8,-70.6,45,986,70,,
36,AL012023,UNNAMED,2023-01-15 12:00:00,EX,37.2,-69.7,45,986,60,,
37,AL012023,UNNAMED,2023-01-15 18:00:00,EX,37.4,-68.8,45,983,50,,
38,AL012023,UNNAMED,2023-01-16 00:00:00,EX,37.5,-68.3,45,983,50,,
39,AL012023,UNNAMED,2023-01-16 06:00:00,EX,37.3,-67.6,50,982,40,,
40,AL012023,UNNAMED,2023-01-16 12:00:00,SS,37.1,-66.1,50,982,40,20.0,36
41,AL012023,UNNAMED,2023-01-16 18:00:00,SS,37.6,-63.6,55,980,30,11.1,48
42,AL012023,UNNAMED,2023-01-17 00:00:00,SS,39.8,-61.6,60,976,30,15.1,4
43,AL012023,UNNAMED,2023-01-17 06:00:00,SS,42.4,-60.6,55,977,30,16.3,11
44,AL012023,UNNAMED,2023-01-17 12:00:00,SS,45.5,-60.0,45,981,40,17.8,25
45,AL012023,UNNAMED,2023-01-17 12:45:00,SS,45.9,-60.0,45,983,40,,
